date,open,high,low,close,volume
2002-07-08,13.05,13.45,12.38,13.37,5714.46
2002-07-09,13.36,13.4,13.23,13.26,1990.32
2002-07-10,13.27,13.3,12.99,13.04,2680.25
2002-07-11,13.0,13.19,12.99,13.05,1771.71
2002-07-12,13.05,13.1,13.0,13.03,1119.0
2002-07-15,13.02,13.1,12.96,12.98,955.84
2002-07-16,13.0,13.1,12.78,12.8,1145.3
2002-07-17,12.8,12.89,12.69,12.79,1348.3
2002-07-18,12.8,12.9,12.62,12.72,2051.15
2002-07-19,12.8,12.87,12.62,12.7,1924.93
2002-07-22,12.8,12.84,12.68,12.77,2925.16
2002-07-23,12.78,12.82,12.72,12.81,2105.04
2002-07-24,12.82,12.82,12.73,12.74,1430.12
2002-07-25,12.78,12.85,12.7,12.7,1391.24
2002-07-26,12.71,12.75,12.7,12.71,1180.7
2002-07-29,12.71,12.73,12.66,12.71,1815.12
2002-07-30,12.75,12.94,12.69,12.87,3038.45
2002-07-31,12.9,12.92,12.75,12.78,666.3
2002-08-01,12.9,12.9,12.69,12.7,700.75
2002-08-02,12.7,12.76,12.7,12.71,1015.48
2002-08-05,12.7,12.8,12.67,12.72,577.1
2002-08-06,12.76,12.9,12.76,12.82,1362.73
2002-08-07,12.8,12.84,12.71,12.8,826.4
2002-08-08,12.78,12.78,12.71,12.72,817.76
2002-08-09,12.7,12.7,12.61,12.65,1462.76
2002-08-12,12.65,12.65,12.57,12.58,1195.28
2002-08-13,12.6,12.6,12.51,12.55,1266.6
2002-08-14,12.56,12.6,12.52,12.59,457.98
2002-08-15,12.6,12.63,12.5,12.5,571.68
2002-08-16,12.5,12.79,12.45,12.58,635.46
2002-08-19,12.65,12.65,12.5,12.53,561.95
2002-08-20,12.55,12.8,12.55,12.78,1325.92
2002-08-21,12.82,12.85,12.7,12.8,1288.82
2002-08-22,12.8,13.05,12.78,12.96,3458.99
2002-08-23,13.03,13.05,12.96,13.0,1955.71
2002-08-26,13.0,13.17,12.97,13.11,2829.62
2002-08-27,13.12,13.35,13.12,13.25,11611.49
2002-08-28,13.31,13.35,13.19,13.2,1915.33
2002-08-29,13.18,13.29,13.18,13.26,2900.93
2002-08-30,13.25,13.35,13.15,13.27,2299.1
2002-09-02,13.25,13.25,13.18,13.2,1415.16
2002-09-03,13.11,13.3,13.11,13.2,1250.14
2002-09-04,13.16,13.25,13.02,13.07,852.0
2002-09-05,13.0,13.05,12.8,12.8,2498.6
2002-09-06,12.76,12.91,12.75,12.9,1832.61
2002-09-09,12.78,12.93,12.78,12.91,736.41
2002-09-10,12.89,12.9,12.82,12.85,227.7
2002-09-11,12.86,12.86,12.67,12.69,1339.0
2002-09-12,12.66,12.9,12.55,12.89,1146.54
2002-09-13,12.73,13.05,12.73,12.91,717.88
2002-09-16,12.81,12.82,12.73,12.81,567.77
2002-09-17,12.79,12.85,12.75,12.79,1031.26
2002-09-18,12.79,12.88,12.75,12.8,330.2
2002-09-19,12.7,13.25,12.7,13.19,1069.26
2002-09-20,13.03,13.08,12.88,12.96,561.72
2002-09-23,12.85,12.99,12.85,12.92,251.39
2002-09-24,12.87,13.03,12.87,13.02,574.06
2002-09-25,12.88,13.0,12.88,12.91,763.16
2002-09-26,12.91,13.0,12.82,12.82,208.12
2002-09-27,12.82,12.9,12.8,12.88,620.18
2002-10-08,12.87,12.87,12.5,12.66,1132.59
2002-10-09,12.55,12.65,12.5,12.5,1073.2
2002-10-10,12.5,12.55,12.45,12.49,438.29
2002-10-11,12.49,12.55,12.45,12.47,725.12
2002-10-14,12.46,12.46,12.23,12.37,1358.87
2002-10-15,12.4,12.4,12.2,12.26,269.72
2002-10-16,12.28,12.7,12.28,12.4,2319.3
2002-10-17,12.45,12.59,12.35,12.35,2026.0
2002-10-18,12.3,12.48,12.3,12.35,1073.57
2002-10-21,12.45,12.45,12.27,12.36,382.91
2002-10-22,12.36,12.5,12.36,12.41,1131.54
2002-10-23,12.41,12.41,12.26,12.4,771.41
2002-10-24,12.4,12.4,12.31,12.33,240.6
2002-10-25,11.6,12.59,11.6,12.24,446.0
2002-10-28,12.24,12.31,12.06,12.08,896.68
2002-10-29,12.06,12.17,12.0,12.13,1028.46
2002-10-30,12.1,12.28,12.03,12.07,535.65
2002-10-31,12.07,12.23,12.07,12.07,549.75
2002-11-01,12.07,12.1,12.02,12.09,187.4
2002-11-04,12.13,12.3,12.1,12.3,579.84
2002-11-05,12.3,12.43,12.0,12.4,6024.85
2002-11-06,12.4,12.4,12.15,12.37,1928.1
2002-11-07,12.22,12.57,12.16,12.41,1626.54
2002-11-08,12.58,12.58,12.05,12.08,1258.94
2002-11-11,12.08,12.08,11.82,11.86,1146.4
2002-11-12,11.86,12.08,11.66,11.66,1144.0
2002-11-13,11.7,11.79,11.3,11.79,1664.99
2002-11-14,11.52,11.7,11.37,11.53,366.98
2002-11-15,11.5,11.6,11.3,11.5,912.04
2002-11-18,11.4,11.41,11.21,11.22,554.76
2002-11-19,11.2,11.41,11.1,11.26,667.55
2002-11-20,11.2,11.24,10.8,10.82,962.33
2002-11-21,10.8,10.81,10.5,10.5,1974.62
2002-11-22,10.61,10.79,10.35,10.48,1685.44
2002-11-25,10.52,10.68,10.45,10.65,641.24
2002-11-26,10.61,10.86,10.28,10.34,863.7
2002-11-27,10.2,10.25,10.0,10.2,1902.74
2002-11-28,10.02,10.58,10.02,10.54,1572.46
2002-11-29,10.45,10.7,10.45,10.64,5206.65
2002-12-02,10.68,10.68,10.28,10.34,1276.0
2002-12-03,10.3,10.5,10.3,10.41,725.2
2002-12-04,10.45,10.68,10.44,10.53,2645.08
