Date,BEST_EPS,IS_EPS,DVD_SH_LAST,RETURN_COM_EQY,BEST_ROE,FAIR_VALUE,BOOK_VAL_PER_SH,EOD_RISK_FREE_RATE_MID
1/3/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/4/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/5/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/8/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/9/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/10/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/11/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/12/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/15/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/16/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/17/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/18/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/19/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
1/22/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/23/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/24/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/25/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/26/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/29/2001,#N/A N/A,#N/A N/A,0.0834,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/30/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
1/31/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/1/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/2/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A,#N/A N/A
2/5/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/6/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/7/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/8/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/9/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/12/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/13/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/14/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/15/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/16/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/19/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/20/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/21/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/22/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/23/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/26/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,461.09,#N/A N/A
2/27/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.48,#N/A N/A
2/28/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.48,#N/A N/A
3/1/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.48,#N/A N/A
3/2/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.48,#N/A N/A
3/5/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.48,#N/A N/A
3/6/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.3,#N/A N/A
3/7/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.3,#N/A N/A
3/8/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.3,#N/A N/A
3/9/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.3,#N/A N/A
3/12/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.3,#N/A N/A
3/13/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.3,#N/A N/A
3/14/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.3,#N/A N/A
3/15/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,460.3,#N/A N/A
3/16/2001,#N/A N/A,#N/A N/A,0.05626,#N/A N/A,#N/A N/A,#N/A N/A,458.25,#N/A N/A
3/19/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,458.25,#N/A N/A
3/20/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,458.25,#N/A N/A
3/21/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,458.25,#N/A N/A
3/22/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,458.25,#N/A N/A
3/23/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,458.25,#N/A N/A
3/26/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,458.08,#N/A N/A
3/27/2001,#N/A N/A,#N/A N/A,0.02775,#N/A N/A,#N/A N/A,#N/A N/A,457.91,#N/A N/A
3/28/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,457.91,#N/A N/A
3/29/2001,#N/A N/A,#N/A N/A,0.05328,#N/A N/A,#N/A N/A,#N/A N/A,456.59,#N/A N/A
3/30/2001,#N/A N/A,#N/A N/A,0.01111,#N/A N/A,#N/A N/A,#N/A N/A,456.39,#N/A N/A
4/2/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,456.39,#N/A N/A
4/3/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,456.39,#N/A N/A
4/4/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,456.21,#N/A N/A
4/5/2001,#N/A N/A,#N/A N/A,0.00281,#N/A N/A,#N/A N/A,#N/A N/A,456.21,#N/A N/A
4/6/2001,#N/A N/A,#N/A N/A,0.04032,#N/A N/A,#N/A N/A,#N/A N/A,455.96,#N/A N/A
4/9/2001,#N/A N/A,#N/A N/A,0,#N/A N/A,#N/A N/A,#N/A N/A,455.96,#N/A N/A
4/10/2001,#N/A N/A,#N/A N/A,0.01668,#N/A N/A,#N/A N/A,#N/A N/A,455.96,#N/A N/A
4/11/2001,#N/A N/A,#N/A N/A,0.01156,#N/A N/A,#N/A N/A,#N/A N/A,455.96,#N/A N/A
4/12/2001,#N/A N/A,#N/A N/A,0.01896,#N/A N/A,#N/A N/A,#N/A N/A,455.35,#N/A N/A
