,high,close,open,low
2010-01-04,11.478972,11.255411,11.392987,11.255411
2010-01-05,11.521964,11.410184,11.255411,10.988859
2010-01-06,11.908896,11.616548,11.453176,11.453176
2010-01-07,11.822911,11.43598,11.650942,11.349995
2010-01-08,11.521964,11.453176,11.349995,11.195222
2010-01-11,12.313025,12.029275,11.865904,11.607949
2010-01-12,13.026698,12.889123,12.029275,12.029275
2010-01-13,12.957911,12.545184,12.476396,12.356017
2010-01-14,13.121282,12.803138,12.545184,12.545184
2010-01-15,12.897721,12.828933,12.837532,12.536585
2010-01-18,13.181471,13.12988,12.811736,12.725752
2010-01-19,13.12988,12.785941,13.12988,12.639767
2010-01-20,12.768744,12.123858,12.725752,11.934691
2010-01-21,12.304426,12.184047,12.123858,11.83151
2010-01-22,12.364615,12.089464,12.003479,11.736926
2010-01-25,12.527987,12.149653,12.123858,12.089464
2010-01-26,12.278631,11.521964,12.149653,11.521964
2010-01-27,11.685335,11.410184,11.444578,11.246813
2010-01-28,11.736926,11.607949,11.453176,11.324199
2010-01-29,11.951888,11.77132,11.521964,11.358593
2010-02-01,11.805714,11.513366,11.779919,11.341396
2010-02-02,12.16685,12.080866,11.616548,11.607949
2010-02-03,12.373214,12.287229,12.141055,11.840108
2010-02-04,12.424805,12.192646,12.287229,12.149653
2010-02-05,11.908896,11.702532,11.865904,11.607949
2010-02-08,11.762722,11.54776,11.607949,11.384389
2010-02-09,11.797116,11.625146,11.504767,11.461775
2010-02-10,12.003479,11.960487,11.702532,11.642343
2010-02-11,11.994881,11.797116,11.917494,11.779919
2010-02-12,11.986282,11.951888,11.693934,11.693934
2010-02-22,12.321623,12.123858,11.951888,11.805714
2010-02-23,12.252835,12.175449,12.149653,11.865904
2010-02-24,12.493593,12.476396,12.149653,12.046472
2010-02-25,12.811736,12.777343,12.553782,12.536585
2010-02-26,12.949312,12.863327,12.760146,12.553782
2010-03-01,12.932115,12.803138,12.828933,12.648365
2010-03-02,12.837532,12.545184,12.742949,12.519388
2010-03-03,13.233062,13.155676,12.545184,12.493593
2010-03-04,13.164274,12.639767,13.155676,12.605373
2010-03-05,12.871926,12.613971,12.639767,12.467797
2010-03-08,12.880524,12.820335,12.639767,12.51079
2010-03-09,12.803138,12.424805,12.73435,12.424805
2010-03-10,12.553782,12.175449,12.459199,12.123858
2010-03-11,12.373214,12.123858,12.201244,12.012078
2010-03-12,12.201244,12.063669,12.123858,12.046472
2010-03-15,12.158252,11.934691,12.080866,11.83151
2010-03-16,12.192646,12.184047,11.994881,11.883101
2010-03-17,12.407608,12.381812,12.209843,12.16685
2010-03-18,12.493593,12.270032,12.381812,12.244237
2010-03-19,12.656964,12.605373,12.295828,12.295828
2010-03-22,12.699956,12.62257,12.62257,12.484994
2010-03-23,12.553782,12.22704,12.545184,12.209843
2010-03-24,12.356017,12.184047,12.304426,12.149653
2010-03-25,12.364615,12.261434,12.209843,12.089464
2010-03-26,12.62257,12.536585,12.270032,12.209843
2010-03-29,12.682759,12.605373,12.605373,12.4506
2010-03-30,12.665562,12.356017,12.579577,12.304426
2010-03-31,12.381812,12.141055,12.295828,12.046472
2010-04-01,12.287229,12.209843,12.141055,12.072267
2010-04-02,12.252835,12.089464,12.22704,12.020676
2010-04-06,12.278631,12.244237,12.072267,12.037873
2010-04-07,12.209843,12.123858,12.192646,12.037873
2010-04-08,12.089464,11.865904,12.089464,11.788517
2010-04-09,11.994881,11.994881,11.805714,11.805714
2010-04-12,12.046472,11.728328,12.003479,11.607949
2010-04-13,12.037873,12.029275,11.693934,11.650942
2010-04-14,12.11526,11.891699,12.003479,11.779919
2010-04-15,11.934691,11.676737,11.900298,11.582154
2010-04-16,11.77132,11.736926,11.693934,11.599351
2010-04-19,11.693934,11.100639,11.625146,11.09204
2010-04-20,11.564957,11.43598,11.109237,10.920071
2010-04-21,11.599351,11.539161,11.418783,11.358593
2010-04-22,11.521964,11.37579,11.521964,11.307002
2010-04-23,11.590752,11.556358,11.37579,11.37579
2010-04-26,11.590752,11.556358,11.37579,11.37579
2010-04-27,11.77132,11.109237,11.521964,10.920071
2010-04-28,11.135033,10.937268,11.126434,10.842684
2010-04-29,11.178025,10.954465,10.988859,10.945866
2010-04-30,11.066245,10.713707,10.971662,10.421359
2010-05-04,10.730904,10.438556,10.644919,10.386965
2010-05-05,10.679313,10.644919,10.326776,10.326776
2010-05-06,10.713707,10.352571,10.644919,10.326776
2010-05-07,10.447154,10.197798,10.232192,10.163404
2010-05-10,10.576131,10.567533,10.180601,10.146207
2010-05-11,10.920071,10.524541,10.7567,10.455753
2010-05-12,10.739503,10.533139,10.567533,10.309579
2010-05-13,10.851283,10.7567,10.541738,10.541738
2010-05-14,10.877078,10.713707,10.748101,10.593328
2010-05-17,10.627722,10.232192,10.627722,10.232192
2010-05-18,10.438556,9.974238,10.240791,9.630299
2010-05-19,10.137609,9.922647,9.939844,9.6217
2010-05-20,10.163404,10.025829,9.828064,9.767874
2010-05-21,10.120412,10.060223,9.750677,9.630299
2010-05-24,10.507344,10.361169,10.086018,10.068821
2010-05-25,10.438556,10.120412,10.326776,10.068821
2010-05-26,10.541738,10.41276,10.1892,10.12901
2010-05-27,10.619124,10.58473,10.429957,10.335374
2010-05-28,10.705109,10.507344,10.58473,10.447154
2010-05-31,10.610525,10.326776,10.447154,10.326776
2010-06-01,10.498745,10.386965,10.309579,10.232192
2010-06-02,10.576131,10.576131,10.386965,10.223594
2010-06-03,10.928669,10.748101,10.636321,10.576131
2010-06-04,10.988859,10.834086,10.748101,10.627722
2010-06-07,10.705109,10.343972,10.610525,10.275185
2010-06-08,10.619124,10.533139,10.369768,10.369768
2010-06-09,10.713707,10.713707,10.662116,10.455753
2010-06-10,10.834086,10.799692,10.713707,10.576131
2010-06-11,10.920071,10.748101,10.859881,10.730904
2010-06-17,10.963063,10.920071,10.7567,10.7567
2010-06-18,11.135033,10.619124,10.963063,10.619124
2010-06-21,11.169427,11.15223,10.619124,10.576131
2010-06-22,11.15223,11.049048,11.09204,10.954465
2010-06-23,11.160828,10.851283,11.014654,10.730904
2010-06-24,11.074843,10.98026,10.842684,10.765298
2010-06-25,11.093101,10.99762,10.95422,10.858739
2010-06-28,10.98026,10.858739,10.92818,10.841379
2010-06-29,10.92818,10.416057,10.867419,10.416057
2010-06-30,10.572298,10.329257,10.416057,10.225096
2010-07-01,10.407377,9.869214,10.329257,9.869214
2010-07-02,10.129615,9.660893,9.877894,9.409171
2010-07-05,9.747693,9.634853,9.574092,9.443892
2010-07-06,9.843174,9.765053,9.634853,9.608813
2010-07-07,9.895254,9.851854,9.825814,9.739013
2010-07-08,10.034135,9.895254,9.869214,9.851854
2010-07-09,10.259816,10.207736,9.973375,9.773733
2010-07-12,10.372657,10.285856,10.233776,10.181696
2010-07-13,10.216416,10.146976,10.181696,10.086215
2010-07-14,10.372657,10.251136,10.155656,10.129615
2010-07-15,10.372657,9.973375,10.268496,9.964695
2010-07-16,10.068855,9.895254,9.947334,9.825814
2010-07-19,10.372657,10.285856,9.895254,9.730333
2010-07-20,10.745899,10.502857,10.285856,10.259816
2010-07-21,10.789299,10.702499,10.511538,10.511538
2010-07-22,11.0063,10.806659,10.676458,10.598338
2010-07-23,10.832699,10.633058,10.815339,10.511538
2010-07-26,11.136501,11.110461,10.659098,10.580978
2010-07-27,11.492383,11.275382,11.093101,10.98894
2010-07-28,11.483703,11.344822,11.301422,11.110461
2010-07-29,11.718064,11.561823,11.396902,11.388222
2010-07-30,11.648624,11.466343,11.422943,11.422943
2010-08-02,11.761464,11.518423,11.466343,11.414262
2010-08-03,11.622584,11.388222,11.553143,11.327462
2010-08-04,11.648624,11.631264,11.336142,11.336142
2010-08-05,12.056586,11.752784,11.613904,11.587863
2010-08-06,12.126026,12.108666,11.804865,11.692024
2010-08-09,12.152066,12.030546,12.065266,11.874305
2010-08-10,12.212827,11.605224,11.987146,11.605224
2010-08-11,11.813545,11.674664,11.501063,11.501063
2010-08-12,12.073946,12.021866,11.631264,11.553143
2010-08-13,12.169427,12.030546,12.021866,11.900345
2010-08-16,12.542669,12.455868,11.987146,11.987146
2010-08-17,12.603429,12.455868,12.455868,12.325667
2010-08-18,12.499268,12.212827,12.455868,12.091306
2010-08-19,12.507948,12.360388,12.230187,12.221507
2010-08-20,12.516628,12.256227,12.316987,12.247547
2010-08-23,12.542669,12.438508,12.325667,12.143386
2010-08-24,12.74231,12.490588,12.603429,12.447188
2010-08-25,12.429828,11.882985,12.429828,11.856945
2010-08-26,12.152066,11.987146,11.874305,11.874305
2010-08-27,12.134706,12.039226,12.021866,11.935065
