,high,close,open,low
2010-01-04,6.742889,6.555587,6.729015,6.54865
2010-01-05,6.64577,6.486216,6.555587,6.361347
2010-01-06,6.729015,6.583335,6.444593,6.416844
2010-01-07,6.701267,6.264227,6.54865,6.236479
2010-01-08,6.340536,6.298913,6.264227,6.132422
2010-01-11,6.569461,6.271165,6.437656,6.222605
2010-01-12,6.382159,6.243416,6.271165,5.965931
2010-01-13,6.125485,6.007554,6.090799,5.903497
2010-01-14,6.076925,6.042239,6.069988,5.89656
2010-01-15,6.049176,6.021428,6.035302,5.945119
2010-01-18,6.049176,6.028365,5.993679,5.868811
2010-01-19,6.180982,6.097736,6.035302,6.000617
2010-01-20,6.146296,5.785566,6.118548,5.75088
2010-01-21,5.813314,5.646823,5.764754,5.528892
2010-01-22,5.549703,5.45952,5.549703,5.286092
2010-01-25,5.45952,5.334652,5.390149,5.327715
2010-01-26,5.369338,5.175098,5.320778,5.119601
2010-01-27,5.216721,5.19591,5.202847,5.008607
2010-01-28,5.299966,5.244469,5.140413,5.084915
2010-01-29,5.383212,5.258344,5.216721,5.154287
2010-02-01,5.272218,5.19591,5.258344,5.09879
2010-02-02,5.327715,5.188972,5.209784,5.182035
2010-02-03,5.306904,5.299966,5.202847,5.071041
2010-02-04,5.327715,5.272218,5.265281,5.202847
2010-02-05,5.161224,5.091853,5.133475,5.064104
2010-02-08,5.161224,5.057167,5.112664,5.029418
2010-02-09,5.105727,5.077978,5.071041,5.022481
2010-02-10,5.14735,5.140413,5.105727,5.071041
2010-02-11,5.515017,5.431772,5.154287,5.133475
2010-02-12,5.570515,5.563577,5.452583,5.390149
2010-02-22,5.681509,5.542766,5.563577,5.466458
2010-02-23,5.577452,5.542766,5.535829,5.341589
2010-02-24,5.723131,5.70232,5.494206,5.438709
2010-02-25,5.785566,5.674571,5.70232,5.660697
2010-02-26,5.70232,5.577452,5.667634,5.55664
2010-03-01,5.695383,5.688446,5.591326,5.591326
2010-03-02,5.709257,5.612137,5.688446,5.6052
2010-03-03,5.70232,5.674571,5.612137,5.549703
2010-03-04,5.757817,5.598263,5.695383,5.549703
2010-03-05,5.723131,5.667634,5.598263,5.577452
2010-03-08,5.861874,5.834125,5.674571,5.674571
2010-03-09,5.903497,5.841063,5.834125,5.737006
2010-03-10,6.049176,5.917371,5.820251,5.792503
2010-03-11,5.986742,5.917371,5.931245,5.820251
2010-03-12,6.007554,5.792503,5.910434,5.771691
2010-03-15,5.771691,5.639886,5.771691,5.55664
2010-03-16,5.70232,5.681509,5.619074,5.6052
2010-03-17,5.757817,5.737006,5.723131,5.639886
2010-03-18,5.785566,5.70232,5.737006,5.646823
2010-03-19,5.75088,5.743943,5.688446,5.632949
2010-03-22,5.723131,5.681509,5.723131,5.6052
2010-03-23,5.674571,5.55664,5.660697,5.549703
2010-03-24,5.577452,5.431772,5.549703,5.383212
2010-03-25,5.45952,5.390149,5.410961,5.327715
2010-03-26,5.431772,5.410961,5.362401,5.341589
2010-03-29,5.563577,5.535829,5.417898,5.404023
2010-03-30,5.598263,5.55664,5.549703,5.515017
2010-03-31,5.584389,5.466458,5.549703,5.410961
2010-04-01,5.563577,5.549703,5.452583,5.417898
2010-04-02,5.619074,5.584389,5.584389,5.542766
2010-04-06,5.660697,5.612137,5.598263,5.563577
2010-04-07,5.626012,5.515017,5.612137,5.417898
2010-04-08,5.473395,5.376275,5.466458,5.341589
2010-04-09,5.431772,5.410961,5.404023,5.369338
2010-04-12,5.438709,5.286092,5.410961,5.272218
2010-04-13,5.383212,5.348526,5.286092,5.286092
2010-04-14,5.404023,5.383212,5.376275,5.341589
2010-04-15,5.404023,5.383212,5.390149,5.341589
2010-04-16,5.397086,5.299966,5.376275,5.272218
2010-04-19,5.258344,4.946173,5.223658,4.890676
2010-04-20,4.973921,4.772745,4.946173,4.668688
2010-04-21,4.90455,4.869865,4.779682,4.731122
2010-04-22,4.876802,4.75887,4.876802,4.689499
2010-04-23,4.821305,4.654814,4.731122,4.634002
2010-04-26,4.717248,4.557694,4.689499,4.536882
2010-04-27,4.564631,4.425888,4.550757,4.342643
2010-04-28,4.529945,4.509134,4.370391,4.314894
2010-04-29,4.529945,4.509134,4.370391,4.314894
2010-04-30,4.786619,4.779682,4.523008,4.509134
2010-05-04,4.779682,4.675625,4.717248,4.613191
2010-05-05,4.668688,4.661751,4.640939,4.488322
2010-05-06,4.661751,4.467511,4.627065,4.453637
2010-05-07,4.509134,4.460574,4.34958,4.231649
2010-05-10,4.509134,4.49526,4.460574,4.391203
2010-05-11,4.696436,4.516071,4.613191,4.467511
2010-05-12,4.516071,4.502197,4.474448,4.356517
2010-05-13,4.620128,4.606254,4.474448,4.460574
2010-05-14,4.606254,4.585442,4.578505,4.516071
2010-05-17,4.529945,4.321831,4.529945,4.307957
2010-05-18,4.523008,4.481385,4.321831,4.321831
2010-05-19,4.550757,4.488322,4.4467,4.425888
2010-05-20,4.613191,4.536882,4.474448,4.4467
2010-05-21,4.682562,4.675625,4.432825,4.384265
2010-05-24,4.847207,4.797162,4.739968,4.668475
2010-05-25,4.754266,4.61843,4.754266,4.568385
2010-05-26,4.668475,4.61843,4.632729,4.582684
2010-05-27,4.71852,4.675624,4.596982,4.532639
2010-05-28,4.747117,4.632729,4.732818,4.611281
2010-05-31,4.632729,4.539788,4.596982,4.489743
2010-06-01,4.539788,4.482594,4.496892,4.439698
2010-06-02,4.52549,4.51834,4.475445,4.446848
2010-06-03,4.582684,4.489743,4.52549,4.446848
2010-06-04,4.468295,4.439698,4.461146,4.32531
2010-06-07,4.375355,4.353907,4.346758,4.303862
