,ticker
0,000001.XSHE
1,000002.XSHE
2,000008.XSHE
3,000009.XSHE
4,000027.XSHE
5,000039.XSHE
6,000060.XSHE
7,000061.XSHE
8,000063.XSHE
9,000069.XSHE
10,000100.XSHE
11,000156.XSHE
12,000157.XSHE
13,000166.XSHE
14,000333.XSHE
15,000338.XSHE
16,000402.XSHE
17,000413.XSHE
18,000415.XSHE
19,000423.XSHE
20,000425.XSHE
21,000503.XSHE
22,000538.XSHE
23,000540.XSHE
24,000555.XSHE
25,000559.XSHE
26,000568.XSHE
27,000623.XSHE
28,000625.XSHE
29,000627.XSHE
30,000630.XSHE
31,000651.XSHE
32,000671.XSHE
33,000686.XSHE
34,000709.XSHE
35,000712.XSHE
36,000718.XSHE
37,000725.XSHE
38,000728.XSHE
39,000738.XSHE
40,000750.XSHE
41,000768.XSHE
42,000776.XSHE
43,000778.XSHE
44,000783.XSHE
45,000792.XSHE
46,000793.XSHE
47,000800.XSHE
48,000826.XSHE
49,000839.XSHE
50,000858.XSHE
51,000876.XSHE
52,000895.XSHE
53,000917.XSHE
54,000938.XSHE
55,000963.XSHE
56,000977.XSHE
57,000983.XSHE
58,001979.XSHE
59,002007.XSHE
60,002008.XSHE
61,002024.XSHE
62,002027.XSHE
63,002049.XSHE
64,002065.XSHE
65,002074.XSHE
66,002081.XSHE
67,002085.XSHE
68,002129.XSHE
69,002131.XSHE
70,002142.XSHE
71,002146.XSHE
72,002152.XSHE
73,002153.XSHE
74,002174.XSHE
75,002183.XSHE
76,002195.XSHE
77,002202.XSHE
78,002230.XSHE
79,002236.XSHE
80,002241.XSHE
81,002252.XSHE
82,002292.XSHE
83,002299.XSHE
84,002304.XSHE
85,002310.XSHE
86,002385.XSHE
87,002415.XSHE
88,002424.XSHE
89,002426.XSHE
90,002450.XSHE
91,002456.XSHE
92,002465.XSHE
93,002466.XSHE
94,002470.XSHE
95,002475.XSHE
96,002500.XSHE
97,002568.XSHE
98,002594.XSHE
99,002673.XSHE
100,002714.XSHE
101,002736.XSHE
102,002739.XSHE
103,002797.XSHE
104,300002.XSHE
105,300015.XSHE
106,300017.XSHE
107,300024.XSHE
108,300027.XSHE
109,300033.XSHE
110,300058.XSHE
111,300059.XSHE
112,300070.XSHE
113,300072.XSHE
114,300085.XSHE
115,300104.XSHE
116,300124.XSHE
117,300133.XSHE
