[2019-01-29 18:34:38,397] Step: 1000 | Saver reach checkpoint.
[2019-01-29 18:34:44,517] Step: 2000 | Saver reach checkpoint.
[2019-01-29 18:34:50,642] Step: 3000 | Saver reach checkpoint.
[2019-01-29 18:34:56,689] Step: 4000 | Saver reach checkpoint.
[2019-01-29 18:35:02,722] Step: 5000 | Saver reach checkpoint.
[2019-01-29 18:35:08,745] Step: 6000 | Saver reach checkpoint.
[2019-01-29 18:35:14,779] Step: 7000 | Saver reach checkpoint.
[2019-01-29 18:35:20,838] Step: 8000 | Saver reach checkpoint.
[2019-01-29 18:35:26,913] Step: 9000 | Saver reach checkpoint.
[2019-01-29 18:35:32,985] Step: 10000 | Saver reach checkpoint.
[2019-01-29 18:35:39,019] Step: 11000 | Saver reach checkpoint.
[2019-01-29 18:35:45,054] Step: 12000 | Saver reach checkpoint.
[2019-01-29 18:35:51,140] Step: 13000 | Saver reach checkpoint.
[2019-01-29 18:35:57,404] Step: 14000 | Saver reach checkpoint.
[2019-01-29 18:36:04,111] Step: 15000 | Saver reach checkpoint.
[2019-01-29 18:36:10,513] Step: 16000 | Saver reach checkpoint.
[2019-01-29 18:36:16,762] Step: 17000 | Saver reach checkpoint.
[2019-01-29 18:36:22,949] Step: 18000 | Saver reach checkpoint.
[2019-01-29 18:36:29,070] Step: 19000 | Saver reach checkpoint.
[2019-01-29 18:36:35,163] Step: 20000 | Saver reach checkpoint.
[2019-01-29 18:36:41,274] Step: 21000 | Saver reach checkpoint.
[2019-01-29 18:36:47,327] Step: 22000 | Saver reach checkpoint.
[2019-01-29 18:36:53,383] Step: 23000 | Saver reach checkpoint.
[2019-01-29 18:36:59,980] Step: 24000 | Saver reach checkpoint.
[2019-01-29 18:37:06,151] Step: 25000 | Saver reach checkpoint.
[2019-01-29 18:37:12,249] Step: 26000 | Saver reach checkpoint.
[2019-01-29 18:37:18,399] Step: 27000 | Saver reach checkpoint.
[2019-01-29 18:37:24,445] Step: 28000 | Saver reach checkpoint.
[2019-01-29 18:37:30,444] Step: 29000 | Saver reach checkpoint.
[2019-01-29 18:37:36,552] Step: 30000 | Saver reach checkpoint.
